x,y,z
0.086988,0.25603,0.14906
0.086677,0.25615,0.1488
0.086364,0.25626,0.14854
0.086049,0.25637,0.1483
0.085732,0.25648,0.14805
0.085412,0.25658,0.14782
0.085089,0.25668,0.14758
0.084764,0.25678,0.14735
0.084436,0.25688,0.14713
0.084105,0.25698,0.14691
0.083772,0.25708,0.14669
0.083435,0.25717,0.14647
0.083096,0.25726,0.14625
0.082753,0.25736,0.14603
0.082407,0.25745,0.14582
0.082057,0.25755,0.1456
0.081704,0.25764,0.14538
0.081348,0.25774,0.14516
0.080989,0.25784,0.14495
0.080626,0.25794,0.14473
0.080262,0.25804,0.14451
0.079895,0.25814,0.14429
0.079526,0.25824,0.14408
0.079156,0.25835,0.14387
0.078785,0.25846,0.14367
0.078413,0.25857,0.14347
0.078041,0.25869,0.14327
0.077668,0.25881,0.14308
0.077295,0.25893,0.1429
0.076923,0.25906,0.14272
0.076551,0.25919,0.14255
0.076181,0.25933,0.14239
0.075812,0.25947,0.14224
0.075444,0.25961,0.1421
0.075078,0.25976,0.14197
0.074714,0.25992,0.14185
0.074352,0.26008,0.14173
0.073992,0.26024,0.14162
0.073633,0.26041,0.14151
0.073275,0.26058,0.1414
0.07292,0.26075,0.14129
0.072566,0.26092,0.14117
0.072213,0.2611,0.14106
0.071862,0.26127,0.14093
0.071512,0.26145,0.1408
0.071164,0.26162,0.14066
0.070817,0.2618,0.14051
0.070472,0.26198,0.14034
0.070128,0.26215,0.14016
0.069785,0.26233,0.13997
0.069444,0.2625,0.13975
0.069107,0.26268,0.13953
0.068775,0.26285,0.13928
0.06845,0.26302,0.13902
0.068136,0.2632,0.13875
0.067833,0.26337,0.13846
0.067544,0.26355,0.13817
0.067272,0.26373,0.13786
0.067018,0.26391,0.13755
0.066784,0.2641,0.13722
0.066573,0.2643,0.1369
0.066386,0.2645,0.13656
0.066226,0.2647,0.13622
0.066095,0.26492,0.13588
0.065996,0.26514,0.13554
0.065929,0.26537,0.13519
0.065898,0.2656,0.13485
0.065902,0.26585,0.13451
0.065941,0.26611,0.13417
0.066012,0.26637,0.13383
0.066114,0.26664,0.1335
0.066244,0.26691,0.13318
0.066401,0.26719,0.13286
0.066583,0.26748,0.13254
0.066788,0.26776,0.13224
0.067015,0.26805,0.13195
0.06726,0.26834,0.13167
0.067524,0.26863,0.13139
0.067802,0.26892,0.13114
0.068095,0.26921,0.13089
0.0684,0.26949,0.13066
0.068714,0.26977,0.13044
0.069037,0.27005,0.13024
0.069366,0.27032,0.13006
0.069701,0.27059,0.1299
0.070041,0.27085,0.12975
0.070387,0.27111,0.12962
0.070737,0.27135,0.1295
0.071093,0.27159,0.1294
0.071454,0.27181,0.12931
0.071819,0.27203,0.12923
0.072189,0.27223,0.12917
0.072564,0.27242,0.12911
0.072942,0.2726,0.12906
0.073325,0.27277,0.12902
0.073712,0.27292,0.12899
0.074103,0.27305,0.12896
0.074497,0.27317,0.12894
0.074895,0.27327,0.12893
0.075297,0.27336,0.12892
0.075701,0.27343,0.12891
0.076109,0.27347,0.1289
0.076519,0.27351,0.1289
0.076932,0.27352,0.1289
0.077347,0.27352,0.1289
0.077764,0.27351,0.1289
0.078182,0.27348,0.1289
0.078602,0.27344,0.1289
0.079023,0.27338,0.1289
0.079444,0.27332,0.1289
0.079866,0.27324,0.1289
0.080289,0.27315,0.1289
0.080711,0.27306,0.12889
0.081133,0.27296,0.12888
0.081555,0.27284,0.12887
0.081975,0.27273,0.12885
0.082395,0.2726,0.12883
0.082813,0.27247,0.12881
0.083229,0.27233,0.12878
0.083643,0.2722,0.12874
0.084055,0.27205,0.1287
0.084465,0.2719,0.12865
0.084872,0.27175,0.12859
0.085275,0.27159,0.12853
0.085675,0.27143,0.12846
0.086072,0.27127,0.12838
0.086464,0.27111,0.12829
0.086852,0.27094,0.1282
0.087236,0.27077,0.12809
0.087615,0.2706,0.12797
0.087988,0.27043,0.12784
0.088356,0.27025,0.1277
0.088719,0.27008,0.12755
0.089075,0.2699,0.12739
0.089425,0.26973,0.12721
0.08977,0.26955,0.12702
0.090108,0.26938,0.12682
0.090441,0.26921,0.12661
0.090767,0.26904,0.12639
0.091088,0.26887,0.12616
0.091403,0.26871,0.12592
0.091713,0.26855,0.12567
0.092017,0.2684,0.12541
0.092315,0.26825,0.12515
0.092608,0.26811,0.12487
0.092896,0.26797,0.12459
0.093178,0.26784,0.1243
0.093455,0.26771,0.124
0.093727,0.2676,0.1237
0.093994,0.26749,0.12339
0.094256,0.2674,0.12308
0.094512,0.26731,0.12276
0.094762,0.26723,0.12243
0.095006,0.26715,0.1221
0.095244,0.26709,0.12176
0.095475,0.26703,0.12141
0.095698,0.26697,0.12105
0.095914,0.26692,0.12069
0.096122,0.26687,0.12032
0.096322,0.26683,0.11994
0.096513,0.26679,0.11956
0.096695,0.26675,0.11916
0.096868,0.26671,0.11876
0.097031,0.26667,0.11834
0.097184,0.26664,0.11792
0.097327,0.2666,0.11749
0.097459,0.26656,0.11704
0.09758,0.26653,0.11659
0.097691,0.26649,0.11613
0.097793,0.26645,0.11566
0.097888,0.26642,0.11519
0.097975,0.2664,0.11472
0.098056,0.26639,0.11425
0.098132,0.26638,0.11378
0.098203,0.26639,0.11332
0.098271,0.26642,0.11286
0.098337,0.26646,0.11241
0.098401,0.26652,0.11197
0.098463,0.26659,0.11155
0.098527,0.2667,0.11114
0.098591,0.26682,0.11075
0.098657,0.26697,0.11038
0.098726,0.26715,0.11002
0.098799,0.26736,0.1097
0.098876,0.2676,0.10939
0.098957,0.26786,0.10911
0.099043,0.26815,0.10885
0.099134,0.26846,0.10862
